States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato,Date
Andaman and Nicobar,45,40,65,84.67,124.33,137.33,121.67,115.67,51.67,67.67,224.5,224.67,202.67,,206.33,145.67,71.67,305,20,50,43.33,80,2022-10-01
Andhra Pradesh,53.5,41.75,44.5,72,118.75,122.5,108,107.75,41,56.25,172.75,193.75,137.75,170,159,108,55.25,340.25,20,34.25,25.25,34.5,2022-10-01
Arunachal pradesh,31.5,,42.5,85.67,116.67,114.33,111.5,105,49,69,,155,155,153.5,220,,69,300,16,29.33,36.67,59,2022-10-01
Assam,26.5,29,34.5,65.5,110,88,95,82.5,42.5,66.5,210,171.5,164.5,142.5,175,135,47,187.5,11.5,27.5,27.5,50,2022-10-01
Bihar,38.63,27.14,33.46,68.17,108.71,105.8,101.57,88.11,42.83,51.4,201,165.89,141.73,150.57,189.44,127.81,47.69,290.71,21.03,20.91,21.83,45.31,2022-10-01
Chandigarh,38,24,28,78,113,111,112,90,42,57,177,177,175,168,170,145,48,229,23,28,28,49,2022-10-01
Chhattisgarh,32,29,33.33,71.83,99.17,97.5,98.67,87.5,40.33,56.5,189.83,174.67,140.83,145.83,172.83,137.8,44.67,303.67,19.33,26.33,24.5,40,2022-10-01
Delhi,32,25,30,72,113,127,103,93,41,52,207,179,152,150,196,115,57,224,26,30,25,52,2022-10-01
DNH and DD,40,37,38,77,117,119,110,108,41,56,189,182,175,163,178,122,62,283,25,25,25,30,2022-10-01
Gujarat,35.29,30.29,32.71,70.83,106.14,101.71,99.43,94.57,40.14,57.17,178.57,172.86,155.67,159.33,170.14,139.67,48.29,311,14.71,24.83,23.33,38,2022-10-01
Haryana,33,23.67,30,68,103.33,90.67,95.33,88.33,42.33,55.33,194.67,169.33,156,150,182,136,43.33,276.67,23.67,23,18.33,28,2022-10-01
Himachal Pradesh,33.91,22,31.27,68.45,112.36,106.64,96.55,92.18,42.45,49.11,196.75,173.3,148.64,141.78,176,130,43.4,242.44,25.7,31.3,28.09,46.6,2022-10-01
Jammu and Kashmir,38.5,28.25,38.5,78.25,119,117,111.25,104,49.25,51.25,250,192.5,168.5,165.5,185,143.33,48.5,304.75,24.25,34,30.75,53.75,2022-10-01
Jharkhand,34.56,27.14,31.67,72.78,104.67,98.44,99.22,88.56,43.14,51.86,202,173.67,135.22,163.89,191.29,131.38,45.43,291,19.57,24.88,31,49.71,2022-10-01
Karnataka,48.75,37.17,43.92,73.25,114.5,111.5,102,102.5,41,43.83,187.42,189.58,135.75,156.83,158.67,114.42,52.33,321.5,18.5,32.25,25.08,35.75,2022-10-01
Kerala,50.9,42.1,48.6,97.2,129.9,132.1,123.5,118,41.4,47,217.5,217.43,185.1,,163.7,114.38,61,237.6,14,41,25.6,45.2,2022-10-01
Madhya Pradesh,33.64,26.55,32.18,67.82,102,93.18,93.91,90.73,40.73,57.36,178.36,165.91,143.91,140.91,170.18,118,43,261.09,18.45,25.45,19.18,37.27,2022-10-01
Maharashtra,41,33.54,39.31,68.92,114.62,107.31,102,95.92,40.31,53.85,183.15,178.58,146.31,135.46,164.23,118.8,49.54,268.38,21.38,29.23,22.85,30.62,2022-10-01
Meghalaya,27.75,36.75,34.75,79,104.33,117.33,110.67,92,44.75,67.5,,153,140,148,200,150,75,332.5,24.75,34.5,41.75,53.25,2022-10-01
Mizoram,43.5,,42.5,,,,,110,49,77,,225,200,143,,,100,287,29,38,47,77,2022-10-01
Nagaland,31,38.75,40.86,94.4,121,110,119.17,102.14,50.83,67.2,210,185,193.33,188,210,165,70,320,16.33,33,45,64,2022-10-01
Odisha,32.29,34.5,35.86,67.71,111.71,95.43,95.71,84.86,43.43,47.71,180,168.71,118.71,169,156,102.57,49.57,232.33,24.43,25.14,22.71,42.57,2022-10-01
Puducherry,34,40,36,79,125,129,107,102,42,44,174,190,164,,138,93,52,328,25,35,25,30,2022-10-01
Punjab,37.5,22,26,73.5,116.5,119,103,103,40.5,53,206.5,161.5,135,140,196.5,107,51,301.5,24,26,25,44,2022-10-01
Rajasthan,37.4,30.6,33,81.6,111.6,107.6,100.6,99,42.8,50.4,192.2,175,154.8,170.6,198,154.67,47.2,272.4,21.6,28.4,25.4,43.6,2022-10-01
Sikkim,53,38,40,79,118,120,113,102,48,62,,198,143,176,220,,60,547,17,37,30,55,2022-10-01
Tamil Nadu,50.11,39.33,47.33,74.22,120.56,123.89,105.56,99.78,40.11,41.67,203.88,209,140.88,,162.25,106.88,53.67,270,24.11,40.75,25.38,37,2022-10-01
Telangana,41.83,34.67,40,69.67,106.17,110,101.33,94.17,40.17,57.83,172.5,187.5,143.83,174.33,172.17,127.83,53.83,288,17.5,24.83,26,40.83,2022-10-01
Tripura,45,,35,75,110,110,110,105,50,72,,168,135,155,190,135,52,179,10,30,30,58,2022-10-01
Uttar Pradesh,33.84,26.03,31.29,71.35,107.71,102.84,98.32,92.9,41.33,58.2,187.73,163.37,145.1,148.53,172.3,125.69,46.97,286.83,24.37,22.97,22.17,41.63,2022-10-01
Uttarakhand,33.5,27,32.25,89,112.75,109.5,111.75,101.75,42.5,59.25,182.5,165.5,165.5,159.5,174.25,122.5,46.5,259.75,26.5,25.25,27.25,38.5,2022-10-01
West Bengal,41.86,26,33.57,72.86,117,107.86,108,104.14,43.14,48.14,192.2,163.71,130.29,145.29,172,125.86,53.86,261.86,17.29,25.29,25.43,52.57,2022-10-02
Andhra Pradesh,52,41.33,44.67,71.33,116.67,122.67,110.33,104.67,41.33,59.67,173.33,187.33,137.33,190,153.33,99.67,54.67,331.33,20.33,33.33,24.67,34.67,2022-10-02
Bihar,39.07,27.45,33.24,67.72,109.83,106.66,102.38,88.03,42.79,51.17,199.6,165.41,141.71,151,188.21,127.14,47.59,288,21.41,20.79,21.86,45.59,2022-10-02
Chandigarh,38,24,28,78,113,111,112,90,42,57,177,177,175,168,170,145,48,229,23,28,28,49,2022-10-02
Chhattisgarh,32,30,35,72.8,100.4,99.4,99.8,88.6,40.6,56.8,190.4,173.6,137,143.2,172.4,138.2,45.2,320.4,19.25,24.6,24.4,37.8,2022-10-02
Delhi,33,25,30,70,110,125,100,90,40,52,206,179,151,148,198,112,55,227,26,30,25,50,2022-10-02
Gujarat,38,32,34.4,72.4,107.4,101.6,100.6,94.4,40.4,57,182,171,155.6,160.6,173.8,138.6,46.8,330.8,13.4,25,25.8,36.5,2022-10-02
Haryana,33.33,24,30.33,68.33,103.67,91,95.67,88.67,42,56,195.33,170,156.67,151,182.33,136.33,44,250,25.5,21,20,27.5,2022-10-02
Himachal Pradesh,33.3,,31,68.5,112.3,106.4,95.7,91.5,42.7,49.11,185.67,173.3,148,141.78,176,130,43.4,242.44,25.7,31.2,28.4,46.6,2022-10-02
Jharkhand,33.75,28.33,32,72,105,102,99.5,89.5,42.25,54.33,218,170.33,136.33,163.67,202,140,43.75,306.33,20.5,19.75,24.75,39.33,2022-10-02
Karnataka,48.64,37.36,44.27,73.55,113.45,110.73,101.45,102.27,41,44,185.45,188.18,135.27,151.27,158.27,114.36,51.36,321.73,18.64,32.09,25.18,35.27,2022-10-02
Madhya Pradesh,33.3,26.4,31.9,67.3,102.7,92.9,93.8,91.2,40.7,57.4,179.2,166.5,144.7,139.7,170.7,121.33,43.6,261.6,19,25.8,19.3,37,2022-10-02
Maharashtra,41,33.54,39.31,68.92,114.23,107.31,102,96,40.31,53.85,183.08,178.58,146.23,135.38,164.23,118.8,49.54,268.38,21.38,29.31,22.54,30.54,2022-10-02
Meghalaya,28.67,36.33,34.67,79,104.33,117.33,110.67,92.67,44.67,67.33,,156.67,140,150,200,150,75,330,28.67,36,43.33,54.33,2022-10-02
